borough,cuisine,grades,name,restaurant_id,building,street,zipcode
Bronx,American ,20.571428571428573,Perista Restaurant,41615635,101,West Kingsbridge Road,10468.0
Queens,Spanish,12.5,Mistura Peruana Restaurant,41615714,84-23,Jamaica Avenue,11421.0
Brooklyn,American ,9.333333333333334,Rocco Pizza Iii,41615845,330,Halsey Street,11216.0
Brooklyn,American ,16.75,The Saint Austere,41615861,613,Grand Street,11211.0
Queens,Eastern European,10.4,Romanian Garden,41615913,430628,43 Ave,11104.0
Manhattan,American ,11.4,Makkah Pizza Restaurant,41615914,641,Lenox Avenue,10037.0
Brooklyn,Chinese,14.5,Hong Bao Cafe,41615937,6317,18 Avenue,11204.0
Brooklyn,Chinese,15.0,Mister Hotpot,41615940,5306,8 Avenue,11220.0
Bronx,Donuts,9.666666666666666,Dunkin Donuts,41615946,601,East Fordham Road,10458.0
Brooklyn,American ,10.2,Dunkin' Donuts,41615952,1379,Halsey Street,11237.0
Bronx,Chinese,14.6,Peking Kitchen,41615961,724,Lydig Avenue,10462.0
Bronx,Jewish/Kosher,15.75,Gruenebaum'S Bakery &Cafe,41616073,5663,Riverdale Avenue,10471.0
Manhattan,Vegetarian,10.333333333333334,Blossom Du Jour,41616095,165,Amsterdam Avenue,10023.0
Manhattan,American ,10.0,Nfl-Huddle Cafe,41616112,345,Park Avenue,10022.0
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",6.0,Swirl Fun,41616173,533,86 Street,11209.0
Queens,Pizza,8.25,Daro'S Pizza,41616179,44-25,Kissena Boulevard,11355.0
Brooklyn,Chinese,8.0,Asian Yummy House,41616384,824,Broadway,11206.0
Manhattan,French,10.0,Bakehouse,41616389,113,Horatio Street,10014.0
Manhattan,Café/Coffee/Tea,4.25,Starbucks Coffee,41616408,180,West Broadway,10013.0
Brooklyn,Caribbean,11.5,Island Choiz Restaurant,41616416,1792,Utica Avenue,11234.0
Manhattan,Japanese,9.666666666666666,Akura Sushi,41616445,39,East 31 Street,10016.0
Bronx,Pizza,9.5,M.M.K Tony'S Pizza,41616477,3039,Buhre Avenue,10461.0
Manhattan,Other,10.333333333333334,Liz'S Place-Barnard College,41616499,3009,Broadway,10027.0
Manhattan,American ,2.3333333333333335,Argotea,41616501,239,Greene Street,10003.0
Queens,Delicatessen,8.6,Meera Deli,41616526,11-57,44 Drive,11101.0
Manhattan,Armenian,12.4,The Tippler,41616574,75,9 Avenue,10011.0
Brooklyn,Chinese,27.6,Minhui Snack,41616749,5919,7 Avenue,11220.0
Manhattan,American ,9.8,The Allie Way Sports Bar,41616853,413,East   70 Street,10021.0
Bronx,Seafood,8.0,Simply Seafood,41616865,2542,White Plains Road,10467.0
Manhattan,American ,9.6,Shopsins General Store (Store #16),41616896,120,Essex Street,10002.0
Brooklyn,Chinese/Japanese,13.0,Fortune House,41616914,82,Henry Street,11201.0
Queens,American ,6.5,Dunkin Donuts,41616953,107-21,71 Avenue,11375.0
Brooklyn,Chinese,16.0,Gourmet Garden 8,41617009,108,Dekalb Avenue,11201.0
Manhattan,American ,3.75,Ucb East,41617019,153,East    3 Street,10009.0
Manhattan,Korean,15.0,The Spot Karaoke Lounge,41617076,34,West   32 Street,10001.0
Queens,American ,12.25,Movie World Douglaston,41617151,242-02,61 Avenue,11362.0
Bronx,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18.0,Villa Vasquez Bar & Restaurant,41617196,894,East Tremont Avenue,10460.0
Manhattan,Mexican,13.8,Dorado,41617210,28,East   12 Street,10003.0
Queens,Spanish,17.4,Rincon Latino,41617238,39-12,103 Street,11368.0
Queens,Bakery,14.2,First Taste Bakery,41617248,75-08,Broadway,11373.0
Bronx,Donuts,12.75,Dunkin Donuts,41617279,2973,East Tremont Avenue,10461.0
Bronx,Donuts,5.75,Dunkin Donuts,41617345,2400,Westchester Avenue,10461.0
Bronx,Donuts,7.25,Dunkin Donuts,41617347,1090,Morris Park Ave,10461.0
Bronx,Donuts,10.0,Dunkin Donuts Baskin Robbins,41617354,1650,Bruckner Boulevard,10473.0
Bronx,Donuts,9.75,Dunkin' Donuts,41617359,1374,Metropolitan Avenue,10462.0
Manhattan,Café/Coffee/Tea,10.0,Starbucks,41617377,1585,Broadway,10036.0
Bronx,Donuts,3.0,Dunkin Donuts,41617387,701,Allerton Avenue,10467.0
Bronx,Donuts,6.0,Dunkin' Donuts,41617392,763,East Gunhill Road,10467.0
Bronx,Café/Coffee/Tea,9.5,Dunkin Donuts,41617404,2515,Boston Road,10467.0
Brooklyn,American ,8.666666666666666,Mary'S Coffee Shop  & Restaurant,41617480,905,Dekalb Avenue,11221.0
Manhattan,American ,13.25,Proletariat Ny,41617526,102,St Marks Place,10009.0
Brooklyn,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.857142857142858,Elisa Cafe,41617529,254,Throop Avenue,11206.0
Brooklyn,American ,4.25,Dunkin Donuts,41617534,1510,86 Street,11228.0
Brooklyn,Donuts,4.75,Dunkin' Donuts,41617538,8925,Avenue D,11236.0
Brooklyn,American ,10.25,Bar 483,41617602,483,39 Street,11232.0
Brooklyn,Caribbean,10.8,Cj'S Jamaican Restaurant & Bakery,41617662,817,Utica Avenue,11203.0
Manhattan,Chinese,10.5,China House Chinese Restaurant,41617766,1624,Madison Avenue,10029.0
Brooklyn,Thai,9.666666666666666,Sai Thai Kitchen,41617794,437,5 Avenue,11215.0
Manhattan,Thai,13.2,Ruay Thai Restaurant,41617849,625,2 Avenue,10016.0
Bronx,American ,14.0,Fenwicks,41617855,432,West  238 Street,10463.0
Manhattan,American ,10.25,O'Donoghues,41617871,156,West   44 Street,10036.0
Manhattan,Chicken,10.8,Chicken Bar,41617898,717,8 Avenue,10036.0
Brooklyn,Hamburgers,5.666666666666667,67 Burger,41617945,234,Flatbush Avenue,11217.0
